Морозильная камера Liebherr G 1213-20                                ;"Пользователи пишут:
 > Хотя выставили по уровню и сняли держатель для шнура
 > Внешний вид
 > Несмотря на маленький размер морозильной камеры ящики в ней очень вместительные
 > Ящики удобные и вместительные
 > Нашла в интернет-магазине"
Ноутбук ASUS X541UV-XO241T                                           ;"Пользователи пишут:
 > World of tanks тянет на средних настройках 40-50 fps
 > Проблем благодаря опыту пользования windows 10 в течение пары лет не было
 > Через 3 недели полетел жесткий диск
 > Сильно не греется и не шумит
 > Что ноутбук относительно лёгкий и тонкий"
Ноутбук Apple MacBook Pro 13 i5 2.3/8/128Gb SG (MPXQ2RU/A)           ;"Пользователи пишут:
 > Как оказалось новые порты очень даже удобные"
"Ноутбук Apple MacBook Pro 13\"" Early 2015 MF839RU/A                  ";"Пользователи пишут:
 > Вместо imac retina+macbook retina 12 берем описываемый macbook pro 13 и наслаждаемся
 > Твердотельный накопитель данного компьютера имеет превосходную скорость чтение/запись
 > Оно идеально в сочетании автономности и мощности
 > Совместимость с другими устройствами apple
 > Создании/ратуши графики и немного в сфере монтажа"
Ноутбук HP 15-ba526ur (X4L70EA)                                      ;"Пользователи пишут:
 > Видео»???леонид
 > Переключение на дискретную видеокарту производится автоматически при повышение нагрузки
 > Valiant hearts и xcom: enemy unknown?
 > The wild eight
 > Соотношение цены/производительности+качеству"
Ноутбук-трансформер Lenovo Yoga 300-11IBR (80M100R1RK)               ;"Пользователи пишут:
 > Да и то за эти деньги нормально"
Посудомоечная машина (45 см) Bosch Aqua Stop SPS40X92RU              ;"Пользователи пишут:
 > Отлично моет даже с дешевыми таблетками
 > Очень довольны
 > Пользуюсь и порошком и таблетками
 > Приобрели данную модель бош аквастоп 2 месяца назад
 > Расход электричества минимальный"
Посудомоечная машина (45 см) Electrolux ESF9423LMW                   ;"Пользователи пишут:
 > После поломки приобрёл данную модель по совету продавца
 > Не обнаружены
 > Пользуюсь почти месяц
 > Идеальное качество мытья
 > Полностью высушивает посуду"
Пылесос ручной (handstick) Bosch BCH6ATH25K                          ;"Пользователи пишут:
 > Главное - сразу после покупки разрядить пылесос
 > Поскольку отсутствуют ковры - мыть полы приходилось по несколько раз в день
 > А затем продолжительно зарядить
 > На максимальной скорости батарею расходует очень быстро
 > Зарядки аккумулятора хватает на час"
Пылесос с пылесборником Bosch GL-30 BGL32003                         ;"Пользователи пишут:
 > Есть индикатор заполнения мешка для сбора пыли
 > Покупкой довольна
 > Длинный шнур
 > Хорошо всасывающий - это при мощности всасывания 300 вт
 > Очень мощный пылесос"
Робот-пылесос iRobot Roomba 616                                      ;"Пользователи пишут:
 > Тем кто любит чистоту и не любит убираться румба будет верным помощником
 > У него есть функция антипутаница
 > Для включения достаточно нажать кнопку и он начинает убираться
 > Сам приезжает на зарядку
 > Очень полезная бытовая техника в моем доме"
Смартфон Apple iPhone 7 128Gb Black (MN922RU/A)                      ;"Пользователи пишут:
 > Выбирал между jet black и матовым и гораздо больше понравился именно матовый
 > Перед iphone 7 было несколько смартфонов: iphone 4s
 > Там все таки двойная камера
 > Новая кнопка
 > Даже при плохом освещении"
Смартфон Apple iPhone SE 32GB Space Grey (MP822RU/A)                 ;"Пользователи пишут:
 > Долго выбирал между iphone 6s и 5se
 > Поэтому при появлении модели iphone se с 32 gb памяти
 > Камера
 > Производительность
 > Всегда любил форм фактор iphone пятой серии"
Смартфон Samsung Galaxy A3 (2016) Black (SM-A310F)                   ;"Пользователи пишут:
 > Отличный яркий экран
 > В комплекте - зарядное устройство и прекрасная гарнитура
 > Стильный дизайн
 > Минимальное при очень активном использовании - 12
 > Получился очень удачным и сбалансированным"
Смартфон Xiaomi Mi 6 64GB Black                                      ;"Пользователи пишут:
 > Видео просто отличнейшее приобретение
 > За такую цену у данной модели конкурентов просто нет
 > Стеклянная задняя поверхность
 > Все работает очень плавно
 > Так сказать"
Стиральная машина Узкая AEG AMS7000U                                 ;"Пользователи пишут:
 > Отличное качество стирки функциональность
 > Отстирывает очень хорошо
 > Не обнаружили
 > После практического знакомства могу рекомендовать к покупке
 > Только меньше"
Стиральная машина Узкая Haier HW60-1211N                             ;"Пользователи пишут:
 > Мне нужна была модель со съемной крышкой под столешницу
 > Нет регулировки отжима
 > Возможность встроить в кухню и регулировка температуры стирки- очень удобная вещь
 > Приехал мастер установил и начал проверять при пробном пуске потекла вода снизу машинки
 > При отжимание 1200 оборотов немного шумновата :-"
Стиральная машина Узкая Samsung WW65K52E69S                          ;"Пользователи пишут:
 > По сравнению с другой моделью- как небо и земля
 > Не вымывает порошок из отсека для него
 > Много нужных функций нет лишьних пользуюсь почти всеми
 > По сравнению  со старой индезит
 > На сторой у нас все программы были по 30"
Телевизор Haier LE24B8000T                                           ;"Пользователи пишут:
 > По горизонтали углы обзора великолепные
 > Хорошее качество изображения
 > Картинка отличная
 > Купили на кухню
 > Звук хороший"
Телевизор LG 43LH595V                                                ;"Пользователи пишут:
 > Хороший экран
 > Отличное изображение
 > Просмотр  фильмов через интернет
 > Телевизор отличный
 > Отличный телевизор за разумную цену"
Телевизор Samsung UE22H5610AK                                        ;"Пользователи пишут:
 > Качество изображения хорошее
 > При больших углах картинка не меняется
 > Повесили на поворотный кронштейн
 > Хороший телевизор
 > Картинка отличная"
Телевизор Sony KD49XE8077                                            ;"Пользователи пишут:
 > Во первых начну с минусов тв
 > Недавно приобрел данную модель и хотел бы поделиться своими впечатлениями о данной модели
 > Даже звук иногда не получается понизить или повысить пульт не реагирует
 > Во время игры  скаченных из  google play тоже возникают ошибки
 > Практически открывает все файлы с жд"
Холодильник с нижней морозильной камерой Beko CMV 529221 W           ;"Пользователи пишут:
 > Сейчас гарантия почти кончилась и продукты стали пропадать-разгерметизация верхнего отдела -хладогент вытек под пластик и вздулась пластиковая облицовка  внутри
 > По сравнению со старым моим аппаратом
 > Верхняя дверца в морозилке туговата
 > Спасибо м-видео за быстрое и качественное обслуживание
 > Холодильник работает тихо"
Холодильник с нижней морозильной камерой Haier C2F637CFMV            ;"Пользователи пишут:
 > Зона свежести и встроенный ионизатор-не требует использования поглатителей запахов
 > Прекрасные ящики на дверце - можно разместить большие двухлитровые бутылки
 > Вместительный
 > И покрытие не оставляет отпечатков пальцев
 > Радует то что качественные комплектующие и добротная сборка"
Холодильник с нижней морозильной камерой Hotpoint-Ariston HFP 7200 XO;"Пользователи пишут:
 > Что не надо раз в месяц все запасы подъедать и вываливать все завалявшееся с последующим отключением электричества
 > Система очистки воздуха
 > Внешний вид
 > Цена"
